Who are you?,aboutme
What is your purpose?,aboutme
What can you help me with?,aboutme
What tasks can you perform?,aboutme
How can you assist me?,aboutme
Do you have a name?,aboutme
How should I address you?,aboutme
What are your capabilities?,aboutme
What features do you have?,aboutme
What's your name?,aboutme
Why were you created?,aboutme
What can you tell me about you?,aboutme
Tell me about yourself.,aboutme
Evening,greetings
Are you well?,greetings
How are you?,greetings
How are you doing?,greetings
How's it going?,greetings
Good morning,greetings
Good afternoon,greetings
Good day,greetings
Good evening,greetings
Afternoon,greetings
Hello,greetings
"Hey, how can I help?",greetings
Hi,greetings
Hey,greetings
Can you help me with something?,help
doubt.,help
I have a doubt.,help
I can ask a question?,help
I have a question.,help
I wanna make a question,help
How can I use your features?,help
Can you list your features?,help
What features do you have?,help
I need a litlle help,help
I need help,help
I need clarification on something.,help
"I'm a little lost, can you guide me?",help
Can you provide me with more information?,help
I would like to know more about a topic.,help
What can you tell me about it?,help
I'm curious about something.,help
I'm interested in learning about it.,help
"I don't know where to start, can you help me?",help
How can I approach this issue?,help
I would like some guidelines.,help
Can you explain something to me?,help
"I don't understand well, can you clarify?",help
Can you elaborate more on this concept?,help
What are the details of the movie Superman?,movie
What are the details of the movie batman?,movie
What are the details of the movie Titanic?,movie
Tell me more about the director of Avatar,movie
Tell me more about the director of Titanic,movie
Tell me more about the director of Iron Man,movie
Tell me more about the director of Braveheart,movie
Tell me more about the director of Godfather,movie
Tell me more about the director of Irland,movie
Who are the main actors in film,movie
Who are the main actors in movie,movie
Who are the main actors in Thor,movie
Who are the main actors in Iron Man,movie
Who are the main actors in SpiderMan,movie
Who are the main actors in Superman,movie
Who are the main actors in Titanic,movie
Who are the main actors in Lord of Flye,movie
Who are the main actors in Batman,movie
Who are the main actors in,movie
Tell me about the plot of,movie
Tell me about the plot of Titanic,movie
Tell me about the plot of Vulcano,movie
Tell me about the plot of Sincaro,movie
Tell me about the plot of movie,movie
What are the details of the movie ?,movie
What are the details of the movie Lord of the Ring?,movie
What are the details of the movie Parasite?,movie
What are the details of the movie Harry Potter?,movie
I wanna know about,movie
I wanna talk about a movie,movie
I wanna know somenthing about Robert De Niro,movie
Tell me about Al Pacino,movie
Tell me about,movie
filmmaker,movie
film,movie
movie,movie
Tell me more about the director of film call,movie
Tell me more about the director of a movie call,movie
Tell me more about the director of Edward,movie
Tell me more about the director of Batman,movie
What are the details of the movie spiderman?,movie
there's nothing you can do for me,no
By no means,no
Cannot,no
"Absolutely not, I cannot help with that request.",no
"Not at all, I can't do that.",no
"By no means, that's out of the question.",no
Certainly not,no
I don't wanna,no
I don't care,no
Don't care,no
Don't wanna,no
Wanna not,no
"Not a chance, that's not an option.",no
Under no circumstances,no
not,no
Don't,no
"Negative, that's not possible",no
nothing,no
restart,start
start,start
again,start
You can,yes
Yes. You can,yes
Affirmative boy,yes
Affirmative girl,yes
Affirmative dude,yes
yes dude,yes
Indeed,yes
Absolutely,yes
Certainly,yes
Sure,yes
Of course,yes
Definitely,yes
maybe,yes
Yup,yes
Yeah,yes
Aye,yes
Agreed,yes
OK,yes
Positively,yes
Without a doubt,yes
Correct,yes
Indubitably,yes
Affirmatively,yes
Right,yes
Okey-dokey,yes
:+1:,yes
