aboutbot,about a bot,Who are you?,What is you?,How can I call you,Who is Gandalf,Gandalf,chatbot,bot,assistant virtual,virtual assistant,"Gandalf, the bot",Guess who?,tell me about you,what`s you?,how can I name you?,whats your name,your name,Mithrandir,Tharkûn,Olórin,Incánus
angry,angry,fuck,angry,damn,hell,go to hell,go fuck yourself,motherfuck,suicide,Bell,Bellend,the end of the penis,penis.,vagine,cum,ass,ashole,asshole,Bloody Hell,bloody moron,bloody brilliant,Bollocks,testicles,Bugger,choad,Crikey,Rubbish,Shag,Are you taking the piss,Taking the piss,pussy,vagina,to be drunk,masturbator,to masturbate,anus,butt ,arse, arsehole,ass-hat,idiot,stupid,you are shit,shitface
audiobook,audiobook,audiobooks,audiobook,audio book,audio,book,tell me a story
bilboanswer,"All of them at once, I suppose","All of them at once, I suppose"
correct,correct,correct
greetings,good evening,Evening,Evenning,Evining,Good Evening
greetings,good night,Night,Nighty,Nite,Good Night
greetings,good morning,Morning,Good Day,Beautiful Day,Good Evening,have a nice day
greetings,good afternoon,Afternoon,Hey! Afternoon,Good arvo,After noon,Dawn,afternoon tea,Good Afternoon
helpme,Help now
helpme,helpme,Help me,heupe me,helpme,help
helpme,what services you
helpme,a list of the types of things
init,start,start,re start,/start
init,greetings,hi,hello,how are you,it's nice to meet you,yeap,Hey ,Hi there ,Greetings ,Howdy ,Aloha ,What's up ,Yo ,Hiya ,Hey there, Hi again ,"Hi, how are you? ","Hi, how's it going? ","Hi, what's new? ","Hi, friend ","Hi, buddy ","Hi, pal"," Hi, mate ","Hi, colleague"
maps,maps,Maps,Cartography ,Charts ,Atlases ,Diagrams ,Blueprints ,Schematics ,Plans ,Topography ,Geographical representations, Navigational charts
maps,Mordor
maps,displays Middle-earth
maps,Lord of The Ring
maps,Beleriand
maps,Ardar
no,no,no,nope,naum,no one,negative
riddle,riddle,puzzle,riddle,play,game,games,Enigma,Challenge,Puzzler,ridle,riddlle,riddles
username,Liam
username,Alberta
username,Jessica
username,Dorival
username,Maycon
username,Ricardo
username,John
username,Gustavo
wisdow,wisdom,wisdom,wisdon,widow,wisdomn,wisdomw,Knowledge ,Insight ,Understanding, Prudence,Sagacity ,Judgement ,Acumen,Intelligence, Experience ,Discernment,Enlightenment,Reasoning,Expertise,Cleverness,Foresight,Astuteness,Shrewdness,Depth,wise,give me your wisdom,wise up,give me some advice,advice,tips
wrong,wrong,wrong
wrong,wrong_2
wrong,wrong_3
yes,yes,yes,yeap,y,positive
